Period,Revenue,Expense
2025-01-01,0.0,4235.188666666666
2025-02-01,0.0,4650.533333333334
2025-03-01,10721.51,13122.025333333335
2025-04-01,0.0,3868.7826666666674
2025-05-01,0.0,5016.259333333333
2025-06-01,23093.84,24363.051333333337
2025-07-01,0.0,2655.8006666666665
2025-08-01,0.0,5693.956666666668
2025-09-01,35834.009999999995,37163.72266666667
2025-10-01,0.0,6044.580666666667
2025-11-01,0.0,4507.016666666666
2025-12-01,46465.87,48304.3
2026-01-01,0.0,3960.3866666666668
2026-02-01,0.0,6298.372666666666
2026-03-01,59288.97,60775.09533333333
2026-04-01,0.0,5446.013999999999
2026-05-01,0.0,6524.588666666666
2026-06-01,74097.81999999999,75149.68933333333
2026-07-01,0.0,5038.478
2026-08-01,0.0,4454.6653333333325
2026-09-01,86268.74,85184.938
2026-10-01,0.0,5444.995999999998
2026-11-01,0.0,5207.596
2026-12-01,100216.58,95782.176
