item_number,recommended_item
011,597
012,082
013,054
014,536
015,987
016,642
017,311
018,118
019,668
022,242
025,231
026,734
031,728
033,533
035,948
036,627
037,238
038,525
039,432
041,247
042,778
043,375
044,878
047,752
048,457
051,343
052,231
053,615
054,011
055,116
056,627
059,388
061,250
071,247
072,967
073,876
074,655
075,389
081,242
082,873
083,556
085,829
086,873
087,379
088,761
089,332
090,776
091,597
111,247
113,331
114,876
115,041
116,651
117,761
118,611
119,831
121,774
122,535
123,352
131,667
141,525
142,165
151,056
153,011
161,411
165,779
171,090
213,531
221,577
222,434
223,036
231,669
232,986
233,587
234,037
235,736
236,351
237,661
238,967
241,531
242,512
243,811
244,378
245,352
246,022
247,345
250,378
251,455
311,452
314,061
322,213
323,022
324,341
331,073
332,754
337,235
338,772
341,123
343,761
344,873
345,963
351,881
352,044
353,728
354,658
355,171
359,434
361,250
363,081
365,047
366,381
371,038
373,113
375,414
376,777
377,736
378,038
379,874
381,388
382,862
384,075
385,011
386,081
387,625
388,571
389,723
391,331
392,532
393,389
394,377
395,596
399,048
411,251
412,926
414,232
415,421
416,829
417,026
418,716
419,246
421,596
431,072
432,521
433,821
434,250
436,091
437,596
438,412
445,752
451,244
452,243
453,525
455,846
457,846
458,772
511,611
512,862
513,399
514,361
515,649
521,038
522,251
523,043
524,451
525,388
526,871
531,963
532,055
533,366
534,872
535,458
536,727
541,651
542,089
543,379
544,916
545,872
551,352
552,625
553,434
554,736
555,556
556,247
571,246
572,1Dsy
574,629
575,821
577,769
578,851
579,047
586,722
587,833
588,073
595,659
596,512
597,385
611,928
613,851
615,042
618,242
625,081
627,085
629,631
631,745
632,388
633,017
634,355
642,948
643,250
644,753
645,366
649,634
651,018
652,723
653,311
655,734
656,611
658,119
659,047
661,458
663,411
664,019
665,1Dsy
666,033
667,779
668,086
669,311
671,597
672,113
673,586
678,251
679,022
684,085
688,044
689,061
690,727
691,151
711,221
712,090
713,842
714,689
715,778
716,678
719,746
721,916
722,222
723,393
724,231
727,739
728,039
730,090
731,388
732,833
733,053
734,732
735,245
736,722
737,387
738,314
739,047
741,845
743,524
744,878
745,615
746,338
751,343
752,763
753,982
754,713
761,042
762,984
763,075
764,016
765,457
766,314
768,941
769,042
771,928
772,659
773,116
774,031
775,765
776,087
777,016
778,525
779,659
811,618
821,432
823,775
824,521
825,411
829,343
831,171
833,355
841,716
842,114
843,432
845,776
846,118
851,661
862,399
871,379
872,661
873,629
874,341
875,074
876,161
877,378
878,433
881,773
911,948
915,526
916,949
926,723
927,366
928,751
941,771
942,414
943,723
944,727
945,245
948,829
949,577
961,458
963,394
964,534
965,872
966,244
967,532
968,942
971,875
972,433
981,652
982,777
983,651
984,728
985,053
986,323
987,771
990,652
999,588
1Dsy,433
