,Supplier 1,Supplier 2,Supplier 3,Supplier 4,Supplier 5,Supplier 6,Supplier 7,Supplier 8,Supplier 9,Supplier 10,Supplier 11,Supplier 12,Supplier 13,Supplier 14,Supplier 15,Supplier 16,Supplier 17,Supplier 18,Supplier 19,Supplier 20
Material 1,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5
Material 2,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5
Material 3,1.13,0.89,1.21,1.33,0.66,1.05,0.87,0.97,0.73,1.09,0.75,1.42,1.04,0.71,0.76,1.13,1.48,0.95,0.89,1.16
Material 4,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5
Material 5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5
Material 6,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5
Material 7,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5
Material 8,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5
Material 9,1.0,0.87,0.5,0.56,0.82,0.97,0.92,0.84,0.94,1.49,1.36,0.74,0.79,0.87,0.71,0.65,1.14,0.79,0.85,0.95
Material 10,0.63,0.5,0.56,0.56,0.74,0.79,0.7,0.84,0.73,0.96,0.59,0.63,0.69,0.74,0.79,0.85,0.65,0.62,0.83,0.62
Material 11,1.03,1.07,1.04,1.59,1.06,1.11,1.18,1.04,1.61,1.24,1.51,0.92,1.54,0.96,1.0,1.35,1.01,1.08,1.05,1.01
Material 12,1.19,1.1,0.68,1.08,1.08,0.78,1.48,1.02,1.13,1.29,1.29,1.05,0.65,1.05,0.5,1.07,1.03,1.01,0.8,1.23
Material 13,1.86,1.8,1.96,1.9,2.45,1.89,1.48,1.54,1.98,1.62,1.96,2.19,2.15,2.4,1.13,2.03,1.95,1.69,1.95,0.8
Material 14,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5
Material 15,0.82,0.96,0.65,0.92,0.82,0.78,0.52,1.12,0.84,1.08,0.59,0.9,0.5,0.5,0.83,0.66,0.84,0.57,0.88,0.69
Material 16,0.5,0.58,0.5,0.59,0.5,0.5,0.74,0.5,0.5,0.5,0.5,0.51,0.5,0.5,0.5,0.5,0.73,0.5,0.5,0.67
Material 17,0.84,2.08,2.3,1.91,1.58,1.5,1.09,1.34,1.41,1.42,1.42,1.54,1.78,1.77,1.28,1.71,1.64,1.54,2.1,1.27
Material 18,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5
Material 19,0.97,0.9,0.82,1.28,0.91,0.82,0.56,0.65,0.83,0.63,0.5,1.04,0.98,1.32,0.7,1.29,1.36,0.75,0.89,1.01
Material 20,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5
Material 21,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5
Material 22,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.51,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.63,0.5,0.5,0.5
Material 23,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5
Material 24,1.27,1.06,1.19,2.22,1.42,1.35,1.34,1.8,1.35,1.53,1.55,1.5,1.5,1.12,1.45,1.04,1.36,1.54,1.84,2.07
Material 25,1.15,2.18,1.81,2.8,1.91,2.28,3.31,2.9,1.42,1.88,1.7,1.91,1.93,1.91,3.21,1.78,3.05,1.94,2.42,2.37
Material 26,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5
Material 27,0.86,0.9,1.05,0.75,1.13,1.17,0.6,0.92,1.45,0.86,1.06,0.59,1.26,1.13,1.43,1.08,0.77,1.37,0.5,1.11
Material 28,0.68,0.5,0.77,0.5,0.83,0.5,0.5,0.71,0.95,0.9,1.15,0.83,1.06,1.01,0.98,0.51,0.5,0.6,1.1,0.66
Material 29,3.0,1.95,3.29,2.76,2.34,1.69,2.52,2.63,1.96,1.58,3.29,2.42,2.46,1.75,3.09,2.35,2.28,2.72,1.83,1.72
Material 30,1.34,0.52,1.24,0.92,1.52,1.03,1.43,1.29,1.04,1.0,0.72,0.89,1.74,1.44,1.56,1.19,1.55,1.56,0.75,1.36
