clinic_name,Country,state,region,Location,Practice Type,Turn Over Range,clinic_revenue,number_of_chair,Value Per Chair,Rank,Group,About the Premises,About the practice ,About The Area,Notes
N21701,"Australia, Greater Western Sydney",New South Wales,Greater Western Sydney,Metro,Dentist GP,$2M+,2000000,3,"666,667",3,1,"Located within a fully occupied, metro neighbourhood shopping centre located 3.5 kilometres from the Liverpool CBD.
The anchor tenant is Coles
Parking available in centre car park
Large signage at front of premises
Glass entrance allowing in natural light","A modern, high-grossing practice is available to purchase in a local shopping centre in Chipping Norton. The practice, which has a stylish design and fit-out, is projected to gross more than $2m for the second consecutive  financial year. The principal is supported by three associate dentists, reducing the key person risk for buyers.","Chipping Norton is part of the Greater Western Sydney Region, 27 kilometres south west of the CBD.
Transport links include easy access to M5/M7, as well as the Hume Highway and Newbridge Road. Located along the 
Georges River, the suburb is home to several parks, including Chipping Norton Lake and four schools. ",
N21322,"Australia, Southwest Sydney",New South Wales,Southwest Sydney,Metro,Dentist GP,>$1M,1000000,2,"500,000",7,1,"Situated in a converted residential building on a wide, tree-lined street 
Premises size: 150 sq. m (land size: 600 sq. m)
There are 2 surgeries with another 2 rooms plumbed
Three car spaces plus street parking
Close to bus and train stations
OPG","Located in a converted residential building in southwest Sydney, this two-surgery practice has consistently grossed more than $1m over the last three years. There are two additional rooms that can be converted into surgeries. The premises has large windows, which let in natural light.","The suburb is southwest Sydney, 23 kilometres from the CBD. The area has a number of parks and reserves located along the Georges River. Transport links includes trains and buses and the suburb is bounded by the M5 Motorway. There are a number of schools in the suburb and surrounding areas.",
NZ9811,"Australia, Invercargill",New South Wales,Invercargill,Metro,Dentist GP,>$1M,1000000,2,"500,000",9,1,"Situated in a stand-alone building on a commercial road
Two modern surgeries
Signage facing traffic",This high-grossing practice has been providing dental care for the local community for 40 years. The practice is in a stand alone building in a commercial road with two light-filled surgeries with large windows and a spacious reception area. ,"Invercargill is the southernmost and westernmost city in New Zealand and the commercial centre of the southland region. It sits amid rich farmland and is bordered by large areas of conservation land and marine reserves. Many of the street are named after rivers in Scotland. The city is located on the Southern Scenic Route, allowing day trips to Queenstown and Dunedin. There are numerous sporting facilities, schools, a university campus and an Institute of Technology campus.",
Q4858,"Australia, Sunshine Coast",New South Wales,Sunshine Coast,Metro,Dentist GP,>$1M,1000000,2,"500,000",10,1,"Situated on the ground floor of a residential complex
Bright reception area
Signage facing traffic
Premises size: 66 sq. m
Two parking spaces as well as street parking available","Take over a thriving practice in a desirable location! Located on a busy street in a popular beachside suburb, this two-surgery practice generates impressive figures, grossing over $1 million in the last two financial years. The practice operates 4.5 days a week, with no evening or weekend work. A solid team of employee dentists and DAs provide excellent dental care, offering a purchaser the option of working in the practice or owning it as a passive investment. ","This busy town is located on the Sunshine Coast, approximately 100 kilometres north of Brisbane. It hosts major surf carnivals and is a very popular holiday point, with a range of water sports on offer. Several stretches of the coast are lined with unbroken beaches and the area is home to more individual national parks than any other region in Queensland. The Sunshine Coast has undergone significant growth and has a variety of transport modes, including rail, bus, ferry and the Sunshine Coast Airport. ",
N20255,"Australia, Double Bay
",New South Wales,Double Bay,Metro,Dentist GP,$750K-$1M,875000,2,"437,500",11,1,"Situated in a stand-alone building
Parking available directly outside the practice
Signage visible to traffic
Close to numerous shops, cafe's restaurants and a major supermarket
The practice is across the road from a local school","Own a practice in one of Sydney's most upmarket and desirable suburbs! This successful practice has been operating for more than 35 years and have become an integral part of the local community. It is ideally located in a busy shopping precinct, surrounded by restaurants, boutiques and cafes. The practice is across the road from a local school, resulting in heavy foot traffic passing by during drop off and pick up. There is parking outside and ample parking in a shopping centre across the road. The practice is easily accessible, with multiple bus stops and a train station a short walk away. ","Double Bay is an affluent harbourside suburb of Sydney, four kilometres east of the CBD. It has a lively mix of restaurants, shops and offices, with a weekly market. Ferry services run to the city, and buses run along New South Head Road. There is a local primary school, library and park.",
N21211,"Australia, Northern Sydney",New South Wales,Northern Sydney,Metro,Dentist GP,$750K-$1M,875000,2,"437,500",12,2,"Neighbouring tenants include a gymnasium, student tuition service, skin care clinic and a physiotherapist
Two onsite parking spaces plus street parking adjacent to clinic
Glass frontage and bright reception and surgeries","Own a modern, beautifully presented two-surgery practice within 100 metres of the local primary school. The practice is in a ground floor suite within a low-rise residential development and has clear signage visible to both pedestrians and traffic. It has generated an impressive $800k in billings from only three clinical days per week. There is ample parking for patients and staff and multiple transport services connecting the suburb to the CBD and neighbouring suburbs.","Own a modern, beautifully presented two-surgery practice within 100 metres of the local primary school. The practice is in a ground floor suite within a low-rise residential development and has clear signage visible to both pedestrians and traffic. It has generated an impressive $800k in billings from only three clinical days per week. There is ample parking for patients and staff and multiple transport services connecting the suburb to the CBD and neighbouring suburbs.",
Q4647,"Australia, Inner Brisbane Suburb",New South Wales,Inner Brisbane Suburb,Metro,Dentist GP,$1M-$1.5M,1250000,3,"416,667",16,2,"Large signage facing the parking lot
Excellent exposure
Bright, modern interior
Three fully equipped surgeries
CBCT and Cerec
Room for additional surgeries
An abundance of free parking available","This high-grossing practice is available to purchase in a popular suburb north of the Brisbane CBD. The practice is conveniently located in a busy shopping complex and is highly visible to pedestrian and vehicular traffic. The ultra-modern practice was recently refurbished and has a sophisticated, stylish fitout; it also has a CBCT, scanner and Cerec machine, as well as a variety of high-end equipment in excellent condition. There is room to add another 1 or 2 surgeries.  There is also a long lease on offer. 

Enquire now for more information or to arrange an inspection.","This inner suburb of Brisbane is a short distance from the CBD. There are a number of beautiful Queenslander houses, parks and sporting facilities. Trains and buses provide transport links to the city and surrounding areas. There are several schools in the suburb and a wide choice of educational institutions in the Brisbane area. ",
N20501,"Australia, Inner West Sydney",New South Wales,Inner West Sydney,Metro,Dentist GP,$500K-$750K,625000,2,"312,500",24,2,"Situated on a main road
Signage facing pedestrian and car traffic","This BUPA preferred provider practice is located in the heart of an inner west suburb, surrounded by retailers, cafes and allied health providers. This well established practice has built a loyal patient base over that time. ","This inner west suburb of Sydney lies just over 5 km south-west of the CBD. It retains an old-world charm, with its train station and numerous buildings having heritage status. Transport links include trains and buses which run to the city. Parks and playgrounds provide recreational space and facilities include an oval, aquatic centre and walking tracks. There are two high schools in the area and a choice of options in surrounding suburbs",
N20652,"Australia, St Leonards",New South Wales,St Leonards,Metro,Dentist GP,$1M-$1.5M,1250000,4,"312,500",25,2,"A landmark corner position in the St Leonards' business district opposite the Forum, St Leonards Train Station, Mall 88 and the Royal North Shore Hospital. 
Neighbouring businesses include two supermarkets (Coles & IGA), numerous fast-food outlets (McDonalds, KFC, Oporto etc.), a gymnasium and medical and other professional services. 
500m to the new Crows Nest Metro station
Highly visible signage to Pacific Highway
Light and bright surgeries","Take advantage of this fabulous opportunity to own a large practice in highly sought-after St Leonards, at a fraction of the cost of setting it up yourself. This holistic dental practice has a 41-year history with the community and has consistently generated over $1.25m in turnover. The practice has excellent street visibility and is located on a busy main road with multiple public and private transport options. ","St Leonards is a suburb on the lower North Shore of Sydney, 5 km north-west of the Sydney CBD. It is one of the North Shore’s main commercial centres, with the head offices of many large companies based there. St Leonards railway station is on the North Shore, Northern & Western line networks, while the Pacific Highway is St Leonards’ major road, making transportation very easy for the commuter, whether by car, train or bus. The Forum is built over the railway station and is composed of three commercial office buildings and two residential towers containing an impressive 782 apartments. ",
N21221,"Australia, Northern Sydney",New South Wales,Northern Sydney,Metro,Dentist GP,$500K-$750K,625000,2,"312,500",27,2,"•    Situated on a corner block 
•    High visibility to passing traffic
•    Parking available on site
•    Premises size: 313 sqm (land size: 672 sqm)
•    Close to train station and buses run along the road","In operation since 1996, and in its current location since 2010, this practice has successfully built a loyal following within the local and surrounding community. It is located on the corner of a very busy intersection, in a prime location having excellent exposure to passing vehicles and foot traffic. The vendor is happy to stay on for a period to assist with a smooth transition. ","Northern Sydney is a large metropolitan area in Greater Sydney, New South Wales, Australia on the north shore of Sydney Harbour and Parramatta River. The region embraces suburbs in Sydney's north-east, north and inner north west. 

The region is characterised by pristine waterways with immense greenery, a well-planned public transport system, hilly roads, large plots of manicured land, and substantially large federation and bungalow style homes. Northern Sydney is home to some of Sydney's most affluent suburbs, large parks and notable landmarks.",
