Equipment,Own?,Quantity,Expected Lifetime,Current Lifetime Usage,Price
Intra Oral Camera,True,1,4,2,1729.5
Bleaching Unit,True,1,4,2,487.5
Ultrasonic Scaler,True,1,4,2,1349.5
Light Cure,True,1,4,2,595.0
Dental Unit,True,1,4,2,30500.0
Portable Xrays,True,1,4,2,9750.0
Endomotor,True,1,4,2,997.5
Autoclaves,True,1,4,2,11500.0
Ultrasonic Cleaner,True,1,4,2,2500.0
Water Tank,True,1,4,2,900.0
Prophylaxis Hand Piece,True,1,4,2,175.0
Handpiece Set,True,1,4,2,2000.0
Compressor,True,1,4,2,3325.0
Apex Locator,True,1,4,2,600.0
Dental Loupe,True,1,4,2,250.0
Portable Light,True,1,4,2,250.0
Camera DSLR,True,1,4,2,2907.5
Water Tank Hose,True,1,4,2,10.0
Sealing Machine,True,1,4,2,1500.0
Xray Sensor,True,1,4,2,9500.0
