Period,Revenue,Expense
1,0.0,1576.7624999999998
2,0.0,1597.070333333333
3,0.0,1696.3438333333334
4,0.0,1788.952166666667
5,0.0,1435.7541666666666
6,0.0,1465.56
7,1623.3763520178013,1835.7971666666665
8,1644.284546114282,1677.9223333333332
9,1746.4928699944094,1769.7705000000003
10,1841.8389847917335,1949.5376666666668
11,1478.1993873381005,2060.507833333333
12,1508.8863709424907,1539.0948333333336
13,1890.0688641871866,1539.0948333333336
14,1727.5267749301902,1539.0948333333336
15,1822.0902502429637,1539.0948333333336
16,2007.1718761922803,1539.0948333333336
17,2121.422655460648,1539.0948333333336
18,1584.595115590403,1539.0948333333336
19,1584.595115590403,1539.0948333333336
20,1584.595115590403,1539.0948333333336
21,1584.595115590403,1539.0948333333336
22,1584.595115590403,1539.0948333333336
23,1584.595115590403,1539.0948333333336
24,1584.595115590403,1539.0948333333336
25,1584.595115590403,0.0
26,1584.595115590403,0.0
27,1584.595115590403,0.0
28,1584.595115590403,0.0
29,1584.595115590403,0.0
30,1584.595115590403,0.0
